176078461220	16	16	MATCH	914069.758
6000000000	16	16	MATCH	914069.295
6000007919	18	18	MATCH	914064.653
6000015838	18	18	MATCH	914050.937
6000023757	17	17	MATCH	914060.825
6000031676	18	18	MATCH	914064.022
6000039595	16	16	MATCH	914073.196
6000047514	13	13	MATCH	914067.122
6000055433	17	17	MATCH	914066.227
6000063352	21	21	MATCH	914069.702
6000071271	15	15	MATCH	914058.105
6000079190	25	25	MATCH	914061.547
6000087109	23	23	MATCH	914063.005
6000095028	14	14	MATCH	914065.266
6000102947	18	18	MATCH	914052.390
6000110866	8	8	MATCH	914063.263
6000118785	10	10	MATCH	914058.761
6000126704	12	12	MATCH	914058.166
6000134623	12	12	MATCH	914068.014
6000142542	19	19	MATCH	914074.976
6000150461	11	11	MATCH	914069.265
6000158380	13	13	MATCH	914059.367
6000166299	17	17	MATCH	914078.188
6000174218	16	16	MATCH	914064.479
6000182137	17	17	MATCH	914059.819
6000190056	9	9	MATCH	914069.891
6000197975	14	14	MATCH	914082.601
6000205894	16	16	MATCH	914068.167
6000213813	13	13	MATCH	914058.920
6000221732	15	15	MATCH	914070.407
6000229651	23	24	DIFF	914065.186
6000237570	13	13	MATCH	914067.434
