# corpus	nonce	expected_count	mask_sha256	raw_sha256
h64	444000000034	14	ddb0b11728cbb93bc0161660319e0bb6118a10e92712eb77eb111f593c794848	e6fb0ef2520b82d93f25bac1d32a24797d41b3b5d3dcc6a98f7bf4c82f7220d7
h64	444000000035	11	adfce7de7421fa988204a0041d97c90524845e0ceedc39d2a8f41b941251c062	625cde8b29535826630913b62625e514ee8d1cd62287852444abb6caeea264bf
h64	444000000036	12	9790f310f17dec4f64e3456ca59dd1ca0feb89d62e3aacc78d1e2f123e111ecd	dcefea35fe09a3bbedee48ace090bc071fc91d347991ee41ffe2010501e687b7
h64	444000000037	17	b647efa00a8b6a545f3af1e8f1337c49eff0420b71b6775f6358cdccea351e86	2411ad04c8cc6b22d7f385c4f82f30d2a2f4476a425c9b3360840b2585644ad8
h64	444000000038	19	24a36eb39f3fa6d89e0c6d36f88b57851d41fc94fef23bf6c06429bfc9e87e20	cca125d2085b7ed82ce1f01685ebcf0c6722ab88a2af72b0db49d30ba820ad2a
h64	444000000039	7	ab18a8533c650735b92ac332dba88f9a181469e81ad9ad2d36b87250bda6025f	8db29be2e5c4b40579d8675086811f53b8c468f2c2a8648d15ed73b0eb3034ab
h64	444000000040	14	cd9f2638e2ee91c1ca6fee43b15e40c90430d91a8ad71e081eaa10129960a043	14131d60c143dbd918dc4e8788e73215e6d1bc1837e746f5f6ded3fbc8064f05
h64	444000000041	13	aebff4d8f3688816d7dbbbf180327dd14d4140d31b16a3e5bc8b5d5286853355	c6e4b77b13ba949e62c04a4be5ab9cb0fe460526ddbbe7e5ea0290064cc1734d
h64	444000000042	9	c208899a29554bd3b4901a9296e0e94c8728545899a4b09d302c6b04f961983b	7b1747570d635c93a1943538e730af9e8041167a4263f8a7171a01a980bd112d
h64	444000000043	16	fde3ed873420d7919f7102f6884440d36839f85c71b790f060f5261255ed6485	e2142316f7515efe744e9bb5ed839a692836f20ca850479c6ebddadd740748a8
h64	444000000044	18	1736d2df15168afa219aa5044d997cc465d35cb75d25dbd1b8f0470496643d08	32666f2ca0cf95d0c85b58b1e48ec872f3eb817e02755e1ce0162a47f961b2f9
h64	444000000045	13	ac321bb7027f5b56cb15eb45f5aef53b89d6fbbba8894c97b696a8b98d66702a	2be58a3204d8dc927cfc69cce8dc3146c057ea9bac7536eee1eb2e9aefd60400
h64	444000000046	6	4f481e0877f91af8c0eb94e0f524c7515150d7b2c14bb35f18f26dd7c030029a	a19f4dcc2d91c172dffef7f83eb1f737f73cc55cfe4da3e50c9e9e3b3bfc73f5
