0,259,259
1,258,258
2,258,258
3,258,258
4,258,258
5,258,258
6,258,258
7,258,258
8,258,258
9,258,258
10,258,258
11,258,258
12,258,258
13,258,258
14,258,258
15,258,258
16,258,258
17,258,258
18,257,257
19,257,257
20,257,257
21,257,257
22,257,257
23,257,257
24,257,257
25,256,256
26,256,256
27,255,255
28,255,255
29,255,255
30,255,255
31,255,255
32,254,254
33,254,254
34,254,254
35,253,253
36,253,253
37,253,253
38,252,252
39,252,252
40,252,252
41,252,252
42,251,251
43,251,251
44,250,250
45,250,250
46,250,250
47,250,250
48,250,250
49,250,250
50,249,249
51,249,249
52,248,248
53,248,248
54,247,247
55,247,247
56,247,247
57,246,246
58,246,246
59,246,246
60,246,246
61,245,245
62,245,245
63,245,245
64,245,245
65,244,244
66,244,244
67,243,243
68,243,243
69,243,243
70,242,242
71,242,242
72,242,242
73,241,241
74,241,241
75,241,241
76,240,240
77,240,240
78,240,240
79,240,240
80,239,239
81,239,239
82,239,239
83,239,239
84,238,238
85,238,238
86,238,238
87,238,238
88,237,237
89,237,237
90,236,236
91,236,236
92,236,236
93,236,236
94,235,235
95,235,235
96,234,234
97,234,234
98,233,233
99,233,233
100,233,233
101,232,232
102,232,232
103,232,232
104,232,232
105,231,231
106,231,231
107,231,231
108,231,231
109,230,230
110,230,230
111,229,229
112,229,229
113,229,229
114,228,228
115,228,228
116,228,228
117,227,227
118,227,226
119,226,226
120,226,225
121,225,225
122,225,224
123,224,224
124,224,224
125,224,224
126,224,223
127,223,223
128,223,222
129,222,222
130,222,222
131,222,222
132,222,221
133,221,221
134,221,221
135,221,220
136,220,220
137,220,220
138,220,220
139,220,219
140,219,219
141,219,219
142,219,218
143,218,218
144,218,217
145,217,217
146,217,217
147,217,216
148,216,216
149,216,216
150,216,215
151,215,215
152,215,215
153,215,214
154,214,214
155,214,214
156,214,214
157,214,213
158,213,213
159,213,212
160,212,212
161,212,211
162,211,211
163,211,210
164,210,210
165,210,209
166,209,209
167,209,209
168,209,209
169,209,209
170,209,209
171,209,208
172,208,208
173,208,207
174,207,207
175,207,207
176,207,206
177,206,206
178,206,205
179,205,205
180,205,205
181,205,204
182,204,204
183,204,203
184,203,203
185,203,203
186,203,203
187,203,202
188,202,202
189,202,202
190,202,201
191,201,201
192,201,200
193,200,200
194,200,200
195,200,200
196,200,200
197,200,199
198,199,199
199,199,198
200,198,198
201,198,197
202,197,197
203,197,197
204,197,196
205,196,196
206,196,195
207,195,195
208,195,194
209,194,194
210,194,194
211,194,194
212,194,193
213,193,193
214,193,193
215,193,193
216,193,192
217,192,192
218,192,191
219,191,191
220,191,191
221,191,190
222,190,190
223,190,190
224,190,189
225,189,189
226,189,188
227,188,188
228,188,188
229,188,187
230,187,187
231,187,186
232,186,186
233,186,185
234,186,185
235,185,184
236,185,184
237,184,184
238,184,183
239,184,183
240,183,183
241,183,183
242,183,182
243,183,182
244,182,181
245,182,181
246,181,180
247,181,180
248,180,180
249,180,180
250,180,180
251,180,179
252,180,179
253,179,178
254,179,178
255,178,177
256,178,177
257,177,176
258,177,176
259,176,175
260,176,175
261,175,174
262,175,174
263,174,174
264,174,174
265,174,173
266,174,173
267,173,172
268,173,172
269,172,172
270,172,171
271,172,171
272,171,171
273,171,171
274,171,170
275,171,170
276,170,169
277,170,169
278,169,168
279,169,168
280,168,168
281,168,168
282,168,167
283,168,167
284,167,167
285,167,166
286,167,166
287,166,166
288,166,165
289,166,165
290,165,164
291,165,164
292,164,164
293,164,163
294,164,163
295,163,162
296,163,162
297,162,161
298,162,160
299,161,160
300,160,160
301,160,159
302,160,159
303,159,159
304,159,159
305,159,159
306,159,158
307,159,158
308,158,157
309,158,157
310,157,156
311,157,156
312,156,156
313,156,155
314,156,155
315,155,155
316,155,155
317,155,154
318,155,154
319,154,153
320,154,153
321,153,152
322,153,152
323,152,151
324,152,151
325,151,150
326,151,150
327,150,150
328,150,150
329,150,150
330,150,149
331,150,149
332,149,148
333,149,148
334,148,147
335,148,147
336,147,146
337,147,146
338,146,146
339,146,146
340,146,145
341,146,145
342,145,145
343,145,145
344,145,144
345,145,144
346,144,144
347,144,143
348,144,143
349,143,142
350,143,142
351,142,141
352,142,141
353,142,140
354,141,140
355,141,140
356,140,139
357,140,139
358,140,138
359,139,138
360,139,137
361,138,137
362,138,137
363,137,136
364,137,136
365,137,135
366,136,135
367,136,135
368,135,135
369,135,134
370,135,134
371,135,134
372,134,133
373,134,133
374,134,132
375,133,132
376,133,132
377,132,132
378,132,131
379,132,131
380,132,130
381,131,130
382,131,130
383,130,129
384,130,129
385,130,128
386,129,128
387,129,128
388,128,128
389,128,127
390,128,127
391,128,127
392,127,126
393,127,126
394,127,125
395,126,125
396,126,124
397,125,123
398,125,123
399,124,122
400,123,122
401,123,122
402,122,122
403,122,121
404,122,121
405,122,121
406,121,121
407,121,120
408,121,120
409,121,119
410,120,119
411,120,119
412,119,119
413,119,119
414,119,118
415,119,118
416,119,117
417,118,117
418,118,117
419,117,116
420,117,116
421,117,115
422,116,115
423,116,115
424,115,114
425,115,114
426,115,114
427,114,114
428,114,113
429,114,113
430,114,112
431,113,112
432,113,111
433,112,111
434,112,111
435,111,111
436,111,111
437,111,110
438,111,110
439,111,109
440,110,109
441,110,108
442,109,108
443,109,107
444,108,107
445,108,106
446,107,106
447,107,105
448,106,105
449,106,105
450,105,105
451,105,105
452,105,104
453,105,104
454,105,103
455,104,103
456,104,102
457,103,102
458,103,101
459,102,101
460,102,100
461,101,100
462,101,100
463,100,100
464,100,99
465,100,98
466,100,98
467,99,97
468,99,97
469,98,96
470,98,96
471,97,95
472,97,95
473,96,95
474,96,95
475,95,94
476,95,94
477,95,94
478,95,93
479,94,93
480,94,92
481,94,92
482,93,92
483,93,91
484,92,91
485,92,90
486,92,90
487,91,90
488,91,90
489,90,89
490,90,89
491,90,89
492,90,88
493,89,88
494,89,87
495,89,87
496,88,86
497,88,86
498,87,86
499,87,86
500,86,85
501,86,85
502,86,84
503,86,83
504,85,83
505,85,83
506,84,83
507,83,82
508,83,82
509,83,81
510,83,81
511,82,80
512,82,79
513,81,79
514,81,79
515,80,79
516,79,78
517,79,78
518,79,77
519,79,77
520,78,76
521,78,76
522,77,75
523,77,75
524,76,74
525,76,74
526,75,73
527,75,73
528,74,73
529,74,72
530,73,72
531,73,72
532,73,71
533,72,71
534,72,70
535,72,70
536,71,70
537,71,69
538,70,69
539,70,69
540,70,69
541,69,68
542,69,68
543,69,68
544,69,67
545,68,67
546,68,67
547,68,66
548,67,66
549,67,65
550,67,65
551,66,65
552,66,64
553,65,64
554,65,64
555,65,64
556,64,63
557,64,63
558,64,62
559,64,61
560,63,61
561,63,61
562,62,61
563,61,60
564,61,60
565,61,59
566,61,59
567,60,58
568,60,58
569,59,57
570,59,57
571,58,56
572,58,56
573,57,55
574,57,55
575,56,55
576,56,54
577,55,54
578,55,54
579,55,53
580,54,53
581,54,52
582,54,52
583,53,51
584,53,51
585,52,50
586,52,50
587,52,50
588,51,49
589,51,49
590,50,48
591,50,48
592,50,48
593,49,47
594,49,47
595,48,46
596,48,46
597,48,45
598,47,45
599,47,45
600,46,45
601,46,44
602,45,44
603,45,43
604,45,43
605,45,43
606,44,42
607,44,42
608,43,41
609,43,41
610,43,40
611,42,40
612,42,40
613,41,40
614,41,39
615,40,39
616,40,38
617,40,38
618,40,37
619,39,37
620,39,36
621,38,36
622,38,36
623,37,35
624,37,35
625,36,35
626,36,34
627,36,34
628,35,34
629,35,34
630,35,33
631,34,33
632,34,32
633,34,32
634,34,31
635,33,31
636,33,30
637,32,30
638,32,29
639,31,29
640,31,28
641,30,28
642,30,27
643,29,27
644,29,26
645,28,26
646,28,25
647,27,25
648,27,25
649,26,25
650,26,24
651,25,24
652,25,23
653,25,23
654,25,22
655,24,22
656,24,21
657,23,21
658,23,20
659,22,20
660,22,20
661,21,19
662,21,19
663,20,18
664,20,18
665,20,18
666,19,17
667,19,17
668,18,17
669,18,16
670,18,16
671,17,15
672,17,15
673,17,14
674,16,14
675,16,13
676,15,13
677,15,13
678,14,12
679,14,12
680,13,11
681,13,11
682,13,10
683,12,10
684,12,9
685,11,9
686,11,9
687,10,9
688,10,8
689,9,8
690,9,8
691,9,8
692,9,8
693,8,8
694,8,8
695,8,8
696,8,8
697,8,8
698,8,8
699,8,8
