role	nonce	derivation_sha256	exact_truth
calibration	8107117281543	baked-source-default	15-classical-11-raw-phase-known
blind-0	265188095765219	f12fea3f2ae3a61f9675bfb09ebf88e5e2cd98ec41656f21f731ae714a422f4d	23-classical-19-raw-phase-exact-parity
blind-1	91908727183590	53972b0918e6b380f4edc757f53be8d3af3fbedee1174fa42c448bfb1d34f304	13-classical-9-raw-phase-exact-parity
blind-2	156173832321757	8e0a0dcc7add891bd65304da8ac7b4287ffb94c76b334b0480b77d94d944b8bb	17-classical-6-raw-phase-exact-parity
blind-3	214883755683454	c36f85ecee7e037d21a5b22c909e0dc5313ad504cab272b87744e7110cfecdb7	18-classical-12-raw-phase-exact-parity
blind-4	42208999819505	26638c70c8f1f74adc6f317961f3f6e3b17f736b08a8ffabfceb10a61e246ce4	20-classical-14-raw-phase-exact-parity
blind-5	106720517445303	610fce8856b7476a540d1dace3ee90cf27cf9558e33c05dde582d2e58aae573b	23-classical-14-raw-phase-exact-parity
