5267	623	1491	3
11864	1541	1491	3
914689	138486	2165	0
915974	138742	2165	0
916919	138896	2435	1
919225	139195	2165	0
920510	139451	2165	0
921455	139605	2435	1
923761	139904	2165	0
925046	140160	2165	0
925991	140314	2435	1
928297	140613	2165	0
929582	140869	2165	0
930527	141023	2435	1
932833	141322	2165	0
934118	141578	2165	0
935063	141732	2435	1
937369	142031	2165	0
938654	142287	2165	0
939599	142441	2435	1
941905	142740	2165	0
943190	142996	2165	0
944135	143150	2435	1
946441	143449	2165	0
947726	143705	2165	0
948671	143859	2435	1
950977	144158	2165	0
952262	144414	2165	0
953207	144568	2435	1
955513	144867	2165	0
956798	145123	2165	0
957743	145277	2435	1
960049	145576	2165	0
961334	145832	2165	0
962279	145986	2435	1
964585	146285	2165	0
965870	146541	2165	0
966815	146695	2435	1
969121	146994	2165	0
970406	147250	2165	0
971351	147404	2435	1
973657	147703	2165	0
974942	147959	2165	0
975887	148113	2435	1
978193	148412	2165	0
979478	148668	2165	0
980423	148822	2435	1
982729	149121	2165	0
984014	149377	2165	0
984959	149531	2435	1
987265	149830	2165	0
988550	150086	2165	0
989495	150240	2435	1
991801	150539	2165	0
993086	150795	2165	0
994031	150949	2435	1
996337	151248	2165	0
997622	151504	2165	0
998567	151658	2435	1
1000873	151957	2165	0
1002158	152213	2165	0
1003103	152367	2435	1
1005409	152666	2165	0
1006694	152922	2165	0
1007639	153076	2435	1
1009945	153375	2165	0
1011230	153631	2165	0
1012175	153785	2435	1
1014481	154084	2165	0
1015766	154340	2165	0
1016711	154494	2435	1
1019017	154793	2165	0
1020302	155049	2165	0
1021247	155203	2435	1
1023553	155502	2165	0
1024838	155758	2165	0
1025783	155912	2435	1
1028089	156211	2165	0
1029374	156467	2165	0
1030319	156621	2435	1
1032625	156920	2165	0
1033910	157176	2165	0
1034855	157330	2435	1
1037161	157629	2165	0
1038446	157885	2165	0
1039391	158039	2435	1
1041697	158338	2165	0
1042982	158594	2165	0
1043927	158748	2435	1
1046233	159047	2165	0
1047518	159303	2165	0
1048463	159457	2435	1
1050769	159756	2165	0
1052054	160012	2165	0
1052999	160166	2435	1
1055305	160465	2165	0
1056590	160721	2165	0
1057535	160875	2435	1
1059841	161174	2165	0
1061126	161430	2165	0
1062071	161584	2435	1
1064377	161883	2165	0
1065662	162139	2165	0
1066607	162293	2435	1
1068913	162592	2165	0
1070198	162848	2165	0
1071143	163002	2435	1
1073449	163301	2165	0
1074734	163557	2165	0
1075679	163711	2435	1
1077985	164010	2165	0
1079270	164266	2165	0
1080215	164420	2435	1
1082521	164719	2165	0
1083806	164975	2165	0
1084751	165129	2435	1
1087057	165428	2165	0
1088342	165684	2165	0
1089287	165838	2435	1
1091593	166137	2165	0
1092878	166393	2165	0
1093823	166547	2435	1
1096129	166846	2165	0
1097414	167102	2165	0
1098359	167256	2435	1
1100665	167555	2165	0
1101950	167811	2165	0
1102895	167965	2435	1
1105201	168264	2165	0
1106486	168520	2165	0
1107431	168674	2435	1
1109737	168973	2165	0
1111022	169229	2165	0
1111967	169383	2435	1
1114273	169682	2165	0
1115558	169938	2165	0
1116503	170092	2435	1
1118809	170391	2165	0
1120094	170647	2165	0
1121039	170801	2435	1
1123345	171100	2165	0
1124630	171356	2165	0
1125575	171510	2435	1
1127881	171809	2165	0
1129166	172065	2165	0
1130111	172219	2435	1
1132417	172518	2165	0
1133702	172774	2165	0
1134647	172928	2435	1
1136953	173227	2165	0
1138238	173483	2165	0
1139183	173637	2435	1
1141489	173936	2165	0
1142774	174192	2165	0
1143719	174346	2435	1
1146025	174645	2165	0
1147310	174901	2165	0
1148255	175055	2435	1
1150561	175354	2165	0
1151846	175610	2165	0
1152791	175764	2435	1
1155097	176063	2165	0
1156382	176319	2165	0
1157327	176473	2435	1
1159633	176772	2165	0
1160918	177028	2165	0
1161863	177182	2435	1
1164169	177481	2165	0
1165454	177737	2165	0
1166399	177891	2435	1
1168705	178190	2165	0
1169990	178446	2165	0
1170935	178600	2435	1
1173241	178899	2165	0
1174526	179155	2165	0
1175471	179309	2435	1
1177777	179608	2165	0
1179062	179864	2165	0
1180007	180018	2435	1
1182313	180317	2165	0
1183598	180573	2165	0
1184543	180727	2435	1
1186849	181026	2165	0
1188134	181282	2165	0
1189079	181436	2435	1
1191385	181735	2165	0
1192670	181991	2165	0
1193615	182145	2435	1
1195921	182444	2165	0
1197206	182700	2165	0
1198151	182854	2435	1
1200457	183153	2165	0
1201742	183409	2165	0
1202687	183563	2435	1
1204993	183862	2165	0
1206278	184118	2165	0
1207223	184272	2435	1
1209529	184571	2165	0
1210814	184827	2165	0
1211759	184981	2435	1
1214065	185280	2165	0
1215350	185536	2165	0
1216295	185690	2435	1
1218601	185989	2165	0
1219886	186245	2165	0
1220831	186399	2435	1
1223137	186698	2165	0
1224422	186954	2165	0
1225367	187108	2435	1
1227673	187407	2165	0
1228958	187663	2165	0
1229903	187817	2435	1
1232209	188116	2165	0
1233494	188372	2165	0
1234439	188526	2435	1
1236745	188825	2165	0
1238030	189081	2165	0
1238975	189235	2435	1
1241281	189534	2165	0
1242566	189790	2165	0
1243511	189944	2435	1
1245817	190243	2165	0
1247102	190499	2165	0
1248047	190653	2435	1
1250353	190952	2165	0
1251638	191208	2165	0
1252583	191362	2435	1
1254889	191661	2165	0
1256174	191917	2165	0
1257119	192071	2435	1
1259425	192370	2165	0
1260710	192626	2165	0
1261655	192780	2435	1
1263961	193079	2165	0
1265246	193335	2165	0
1266191	193489	2435	1
1268497	193788	2165	0
1269782	194044	2165	0
1270727	194198	2435	1
1273033	194497	2165	0
1274318	194753	2165	0
1275263	194907	2435	1
1277569	195206	2165	0
1278854	195462	2165	0
1279799	195616	2435	1
1282105	195915	2165	0
1283390	196171	2165	0
1284335	196325	2435	1
1286641	196624	2165	0
1287926	196880	2165	0
1288871	197034	2435	1
1291177	197333	2165	0
1292462	197589	2165	0
1293407	197743	2435	1
1295713	198042	2165	0
1296998	198298	2165	0
1297943	198452	2435	1
1300249	198751	2165	0
1301534	199007	2165	0
1302479	199161	2435	1
1304785	199460	2165	0
1306070	199716	2165	0
1307015	199870	2435	1
1309321	200169	2165	0
1310606	200425	2165	0
1311551	200579	2435	1
1313857	200878	2165	0
1315142	201134	2165	0
1316087	201288	2435	1
1318393	201587	2165	0
1319678	201843	2165	0
1320623	201997	2435	1
1322929	202296	2165	0
1324214	202552	2165	0
1325159	202706	2435	1
1327465	203005	2165	0
1328750	203261	2165	0
1329695	203415	2435	1
1332001	203714	2165	0
1333286	203970	2165	0
1334231	204124	2435	1
1336537	204423	2165	0
1337822	204679	2165	0
1338767	204833	2435	1
1341073	205132	2165	0
1342358	205388	2165	0
1343303	205542	2435	1
1345609	205841	2165	0
1346894	206097	2165	0
1347839	206251	2435	1
1350145	206550	2165	0
1351430	206806	2165	0
1352375	206960	2435	1
1354681	207259	2165	0
1355966	207515	2165	0
1356911	207669	2435	1
1359217	207968	2165	0
1360502	208224	2165	0
1361447	208378	2435	1
1363753	208677	2165	0
1365038	208933	2165	0
1365983	209087	2435	1
1368289	209386	2165	0
1369574	209642	2165	0
1370519	209796	2435	1
1372825	210095	2165	0
1374110	210351	2165	0
1375055	210505	2435	1
1377361	210804	2165	0
1378646	211060	2165	0
1379591	211214	2435	1
1381897	211513	2165	0
1383182	211769	2165	0
1384127	211923	2435	1
1386433	212222	2165	0
1387718	212478	2165	0
1388663	212632	2435	1
1390969	212931	2165	0
1392254	213187	2165	0
1393199	213341	2435	1
1395505	213640	2165	0
1396790	213896	2165	0
1397735	214050	2435	1
1400041	214349	2165	0
1401326	214605	2165	0
1402271	214759	2435	1
1404577	215058	2165	0
1405862	215314	2165	0
1406807	215468	2435	1
1409113	215767	2165	0
1410398	216023	2165	0
1411343	216177	2435	1
1413649	216476	2165	0
1414934	216732	2165	0
1415879	216886	2435	1
1418185	217185	2165	0
1419470	217441	2165	0
1420415	217595	2435	1
1422721	217894	2165	0
1424006	218150	2165	0
1424951	218304	2435	1
1427257	218603	2165	0
1428542	218859	2165	0
1429487	219013	2435	1
1431793	219312	2165	0
1433078	219568	2165	0
1434023	219722	2435	1
1436329	220021	2165	0
1437614	220277	2165	0
1438559	220431	2435	1
1440865	220730	2165	0
1442150	220986	2165	0
1443095	221140	2435	1
1445401	221439	2165	0
1446686	221695	2165	0
1447631	221849	2435	1
1449937	222148	2165	0
1451222	222404	2165	0
1452167	222558	2435	1
1454473	222857	2165	0
1455758	223113	2165	0
1456703	223267	2435	1
1459009	223566	2165	0
1460294	223822	2165	0
1461239	223976	2435	1
1463545	224275	2165	0
1464830	224531	2165	0
1465775	224685	2435	1
1468081	224984	2165	0
1469366	225240	2165	0
1470311	225394	2435	1
1472617	225693	2165	0
1473902	225949	2165	0
1474847	226103	2435	1
1477153	226402	2165	0
1478438	226658	2165	0
1479383	226812	2435	1
1481689	227111	2165	0
1482974	227367	2165	0
1483919	227521	2435	1
1486225	227820	2165	0
1487510	228076	2165	0
1488455	228230	2435	1
1490761	228529	2165	0
1492046	228785	2165	0
1492991	228939	2435	1
1495297	229238	2165	0
1496582	229494	2165	0
1497527	229648	2435	1
1499833	229947	2165	0
1501118	230203	2165	0
1502063	230357	2435	1
1504369	230656	2165	0
1505654	230912	2165	0
1506599	231066	2435	1
1508905	231365	2165	0
1510190	231621	2165	0
1511135	231775	2435	1
1513441	232074	2165	0
1514726	232330	2165	0
1515671	232484	2435	1
1517977	232783	2165	0
1519262	233039	2165	0
1520207	233193	2435	1
1522513	233492	2165	0
1523798	233748	2165	0
1524743	233902	2435	1
1527049	234201	2165	0
1528334	234457	2165	0
1529279	234611	2435	1
1531585	234910	2165	0
1532870	235166	2165	0
1533815	235320	2435	1
1536121	235619	2165	0
1537406	235875	2165	0
1538351	236029	2435	1
1540657	236328	2165	0
1541942	236584	2165	0
1542887	236738	2435	1
1545193	237037	2165	0
1546478	237293	2165	0
